method,ace,se,ci_low,ci_high
crude,-0.047591057977012685,0.004802027808041723,-0.057003032480774464,-0.038179083473250906
IPW,-0.04404778233681428,0.004392577725071331,-0.052657234677954086,-0.03543832999567447
doubly_robust,-0.043905172886282984,0.004150460102443315,-0.05204007468707188,-0.03577027108549409
g-formula,-0.043924374266577915,0.004612842527542837,-0.052965545620561875,-0.034883202912593954
LPM,-0.044132228518946194,0.004538819404905706,-0.05302831455256138,-0.03523614248533101
PS_matching,-0.043539198019621694,0.003013671382289767,-0.04944599392890964,-0.03763240211033375
PS_stratification,-0.04655005246700945,0.007702002999071516,-0.061645978345189624,-0.03145412658882928
