variable,smd_unweighted,smd_weighted
age_years,-0.026390885744847537,-0.00015524260062243082
gender,0.014275367718470119,0.0014667549053340699
smoke,0.06452501456654387,-0.0001402100295758134
alco,0.06444768329468886,-6.616077425849737e-05
cholesterol,0.022284882748504972,0.00011761539696437881
gluc,-0.01983336968587205,-0.0018070383995965314
bmi,-0.03496334464312808,-0.0026356954382606903
