method,ace,se,ci_low,ci_high,specification
IPW,-0.04404778233681428,0.0047705342354057165,-0.05339802943820948,-0.034697535235419075,main (L incl. BMI)
IPW,-0.04679409539929147,0.004535525608124576,-0.055683725591215635,-0.0379044652073673,exclude BMI
IPW,-0.044585411543782094,0.004309458024382663,-0.053031949271572114,-0.036138873815992074,add blood pressure
